62,40,41,42,40,41,42,58,-1,-1,-1,-1,-1,62,40,41,42,40,41,42,40,40,41,42,40,40,42,40,40,40
62,59,60,61,59,60,61,58,-1,-1,-1,-1,-1,62,59,60,61,59,60,61,40,59,60,61,40,60,61,59,60,40
62,40,41,42,40,41,40,58,-1,-1,-1,-1,-1,62,78,79,80,78,79,80,24,78,79,80,78,79,80,78,79,80
62,59,60,61,59,60,61,96,98,98,98,98,98,100,40,41,42,59,60,61,62,40,41,42,40,41,42,40,41,42
62,40,79,80,78,79,40,41,40,41,40,41,40,62,59,60,61,78,79,80,62,59,60,61,59,60,61,59,60,61
62,40,41,42,40,41,42,60,59,60,59,60,59,62,40,41,42,40,41,42,62,40,41,42,78,79,80,78,79,80
96,98,98,98,98,24,78,79,78,79,78,79,78,62,59,60,61,59,60,61,62,59,60,61,40,41,42,40,41,40
-1,-1,-1,-1,-1,62,40,41,40,41,40,41,40,62,78,79,80,78,79,80,62,78,79,80,40,40,61,59,40,40
-1,-1,-1,-1,-1,62,59,60,59,60,59,60,59,96,98,98,98,98,98,98,98,98,98,98,98,98,40,41,42,40
-1,-1,-1,-1,-1,62,78,79,78,79,40,41,78,40,41,42,40,41,42,40,58,40,41,40,40,40,40,60,61,40
98,98,98,98,98,100,40,41,42,40,41,42,40,41,42,40,41,42,40,41,58,59,60,61,59,40,78,79,80,78
58,40,41,40,41,40,59,60,61,59,60,61,59,60,61,59,60,61,59,60,58,78,79,80,78,40,40,41,42,40
58,59,60,59,60,61,40,41,40,41,42,40,41,42,40,41,42,40,41,42,58,40,41,42,40,62,59,60,61,59
58,78,79,78,79,80,59,60,20,22,24,40,41,22,22,22,22,24,40,40,58,98,98,98,98,98,78,79,80,78
58,40,41,40,41,42,78,79,62,40,40,59,60,40,41,40,41,62,59,59,58,40,41,42,40,41,42,40,42,40
58,59,60,59,60,61,40,41,62,59,40,78,79,59,60,59,60,62,78,78,58,40,41,42,40,41,42,40,41,42
58,78,79,40,79,40,59,60,62,78,40,40,41,78,79,78,79,62,40,40,58,59,60,61,59,60,61,59,60,61
96,98,98,98,98,98,98,98,100,40,96,98,98,98,98,98,98,100,59,59,96,98,98,98,98,98,98,98,40,41
40,41,42,40,41,42,40,41,42,40,41,42,40,41,42,40,41,42,40,41,42,40,41,42,40,41,42,40,59,60
59,60,61,59,60,61,59,60,61,59,60,61,59,60,61,59,60,61,59,60,61,59,60,61,59,60,61,59,78,79
