-1,-1,-1,-1,-1,-1,-1,-1,-1,62,40,40,42,40,41,42,40,40,40,58,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,62,59,60,61,59,60,61,59,40,61,58,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
22,22,22,22,22,22,22,22,22,100,78,79,80,78,79,80,78,79,80,96,98,98,98,98,98,98,98,98,98,98
40,41,40,41,42,40,41,42,40,40,41,42,42,40,41,42,40,42,40,41,42,40,41,42,40,41,42,40,41,42
59,40,41,42,40,61,59,60,61,59,60,61,59,60,61,59,60,61,59,60,61,59,60,61,59,40,41,42,40,41
78,79,40,78,79,80,78,79,80,78,79,80,78,79,80,78,79,80,78,79,80,78,79,80,78,79,80,40,40,78
40,41,42,40,41,42,40,41,42,40,41,42,40,41,42,40,41,42,40,41,42,40,41,42,40,41,42,40,40,40
59,60,61,59,60,61,59,60,61,59,60,61,59,60,61,59,60,61,59,60,61,59,60,61,59,60,61,59,60,59
78,79,80,78,79,80,78,79,80,78,79,80,78,79,80,78,79,80,78,79,80,78,79,80,78,79,80,78,79,78
40,41,42,40,41,42,40,41,42,40,41,42,40,41,42,40,41,42,40,41,42,40,41,42,40,41,42,40,41,42
40,41,61,59,60,61,59,60,61,59,60,61,59,60,61,59,60,61,59,60,61,59,60,61,59,60,61,59,60,40
59,60,80,78,79,80,78,79,80,78,79,80,78,79,80,78,79,80,78,79,80,78,79,80,78,79,80,78,40,41
78,79,40,40,41,42,40,41,42,40,41,42,40,41,42,40,41,42,40,41,42,40,41,42,40,41,42,40,41,42
40,40,41,42,40,61,59,60,61,59,60,61,59,60,61,59,60,61,59,60,61,59,60,61,59,40,41,42,40,41
59,60,40,41,42,40,41,42,40,78,79,80,78,79,80,78,79,80,78,79,80,40,41,42,40,41,42,40,41,42
98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
